/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
tensor(571.2376, device='cuda:0', grad_fn=<MeanBackward1>) 8200
tensor(202.7337, device='cuda:0', grad_fn=<MeanBackward1>) 8300
tensor(507.1943, device='cuda:0', grad_fn=<MeanBackward1>) 8400
tensor(379.5185, device='cuda:0', grad_fn=<MeanBackward1>) 8500
tensor(403.2435, device='cuda:0', grad_fn=<MeanBackward1>) 8600
tensor(3478.7903, device='cuda:0', grad_fn=<MeanBackward1>) 8700
tensor(411.8667, device='cuda:0', grad_fn=<MeanBackward1>) 8800
tensor(271.6145, device='cuda:0', grad_fn=<MeanBackward1>) 8900
tensor(461.7012, device='cuda:0', grad_fn=<MeanBackward1>) 9000
tensor(1760.2529, device='cuda:0', grad_fn=<MeanBackward1>) 9100
tensor(782.4898, device='cuda:0', grad_fn=<MeanBackward1>) 9200
tensor(778.3809, device='cuda:0', grad_fn=<MeanBackward1>) 9300
tensor(279.9004, device='cuda:0', grad_fn=<MeanBackward1>) 9400
tensor(476.3671, device='cuda:0', grad_fn=<MeanBackward1>) 9500
tensor(1000.4882, device='cuda:0', grad_fn=<MeanBackward1>) 9600
tensor(405.8388, device='cuda:0', grad_fn=<MeanBackward1>) 9700
tensor(366.7261, device='cuda:0', grad_fn=<MeanBackward1>) 9800
tensor(236.2653, device='cuda:0', grad_fn=<MeanBackward1>) 9900
tensor(1452.7445, device='cuda:0', grad_fn=<MeanBackward1>) 10000
tensor(262.3839, device='cuda:0', grad_fn=<MeanBackward1>) 10100
tensor(478.6273, device='cuda:0', grad_fn=<MeanBackward1>) 10200
tensor(1115.0955, device='cuda:0', grad_fn=<MeanBackward1>) 10300
tensor(250.5688, device='cuda:0', grad_fn=<MeanBackward1>) 10400
tensor(508.2402, device='cuda:0', grad_fn=<MeanBackward1>) 10500
tensor(14398.5303, device='cuda:0', grad_fn=<MeanBackward1>) 10600
tensor(262.3001, device='cuda:0', grad_fn=<MeanBackward1>) 10700
tensor(3144.0354, device='cuda:0', grad_fn=<MeanBackward1>) 10800
tensor(403.8514, device='cuda:0', grad_fn=<MeanBackward1>) 10900
tensor(269.1651, device='cuda:0', grad_fn=<MeanBackward1>) 11000
