/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
tensor(277.2444, device='cuda:0', grad_fn=<MeanBackward1>) 8200
tensor(1007.3381, device='cuda:0', grad_fn=<MeanBackward1>) 8300
tensor(461.0883, device='cuda:0', grad_fn=<MeanBackward1>) 8400
tensor(8483.9141, device='cuda:0', grad_fn=<MeanBackward1>) 8500
tensor(404.5883, device='cuda:0', grad_fn=<MeanBackward1>) 8600
tensor(1451.3595, device='cuda:0', grad_fn=<MeanBackward1>) 8700
tensor(237.9808, device='cuda:0', grad_fn=<MeanBackward1>) 8800
tensor(532.2848, device='cuda:0', grad_fn=<MeanBackward1>) 8900
tensor(539.1404, device='cuda:0', grad_fn=<MeanBackward1>) 9000
tensor(472.6566, device='cuda:0', grad_fn=<MeanBackward1>) 9100
tensor(589.0025, device='cuda:0', grad_fn=<MeanBackward1>) 9200
tensor(1540.0239, device='cuda:0', grad_fn=<MeanBackward1>) 9300
tensor(1072.6808, device='cuda:0', grad_fn=<MeanBackward1>) 9400
tensor(225.5829, device='cuda:0', grad_fn=<MeanBackward1>) 9500
tensor(401.5298, device='cuda:0', grad_fn=<MeanBackward1>) 9600
tensor(523.2273, device='cuda:0', grad_fn=<MeanBackward1>) 9700
tensor(380.8822, device='cuda:0', grad_fn=<MeanBackward1>) 9800
tensor(4917.1914, device='cuda:0', grad_fn=<MeanBackward1>) 9900
tensor(878.2234, device='cuda:0', grad_fn=<MeanBackward1>) 10000
tensor(331.0484, device='cuda:0', grad_fn=<MeanBackward1>) 10100
tensor(794.8485, device='cuda:0', grad_fn=<MeanBackward1>) 10200
tensor(803.0874, device='cuda:0', grad_fn=<MeanBackward1>) 10300
tensor(604.8083, device='cuda:0', grad_fn=<MeanBackward1>) 10400
tensor(1938.3794, device='cuda:0', grad_fn=<MeanBackward1>) 10500
tensor(622.1915, device='cuda:0', grad_fn=<MeanBackward1>) 10600
tensor(398.9075, device='cuda:0', grad_fn=<MeanBackward1>) 10700
tensor(275.0480, device='cuda:0', grad_fn=<MeanBackward1>) 10800
tensor(632.4153, device='cuda:0', grad_fn=<MeanBackward1>) 10900
tensor(3878.7290, device='cuda:0', grad_fn=<MeanBackward1>) 11000
tensor(579.9674, device='cuda:0', grad_fn=<MeanBackward1>) 11100
tensor(267.8323, device='cuda:0', grad_fn=<MeanBackward1>) 11200
tensor(461.3722, device='cuda:0', grad_fn=<MeanBackward1>) 11300
tensor(312.2308, device='cuda:0', grad_fn=<MeanBackward1>) 11400
tensor(442.9264, device='cuda:0', grad_fn=<MeanBackward1>) 11500
tensor(491.0068, device='cuda:0', grad_fn=<MeanBackward1>) 11600
tensor(648.0720, device='cuda:0', grad_fn=<MeanBackward1>) 11700
tensor(746.0540, device='cuda:0', grad_fn=<MeanBackward1>) 11800
tensor(787.4509, device='cuda:0', grad_fn=<MeanBackward1>) 11900
tensor(586.7889, device='cuda:0', grad_fn=<MeanBackward1>) 12000
tensor(934.8917, device='cuda:0', grad_fn=<MeanBackward1>) 12100
tensor(502.8328, device='cuda:0', grad_fn=<MeanBackward1>) 12200
tensor(455.7806, device='cuda:0', grad_fn=<MeanBackward1>) 12300
tensor(392.9199, device='cuda:0', grad_fn=<MeanBackward1>) 12400
tensor(347.0403, device='cuda:0', grad_fn=<MeanBackward1>) 12500
tensor(532.4152, device='cuda:0', grad_fn=<MeanBackward1>) 12600
tensor(351.6216, device='cuda:0', grad_fn=<MeanBackward1>) 12700
tensor(954.7180, device='cuda:0', grad_fn=<MeanBackward1>) 12800
tensor(10794.4072, device='cuda:0', grad_fn=<MeanBackward1>) 12900
tensor(566.7625, device='cuda:0', grad_fn=<MeanBackward1>) 13000
tensor(536.4839, device='cuda:0', grad_fn=<MeanBackward1>) 13100
tensor(361.3821, device='cuda:0', grad_fn=<MeanBackward1>) 13200
tensor(684.1448, device='cuda:0', grad_fn=<MeanBackward1>) 13300
tensor(436.1902, device='cuda:0', grad_fn=<MeanBackward1>) 13400
tensor(345.3677, device='cuda:0', grad_fn=<MeanBackward1>) 13500
tensor(325.6114, device='cuda:0', grad_fn=<MeanBackward1>) 13600
tensor(613.9529, device='cuda:0', grad_fn=<MeanBackward1>) 13700
tensor(434.1453, device='cuda:0', grad_fn=<MeanBackward1>) 13800
tensor(310.1337, device='cuda:0', grad_fn=<MeanBackward1>) 13900
tensor(916.3418, device='cuda:0', grad_fn=<MeanBackward1>) 14000
tensor(307.2150, device='cuda:0', grad_fn=<MeanBackward1>) 14100
